Store ID,Store Name,Address,Service Area,State,Zip,Lat,Lon
31078,"GREEN LANTERN EXPRESS, INC.",,imperial-county,CA,,33.011369,-115.473355
30643,GREEN LEAF DELIVERY,,central-san-diego-clubs,CA,,32.747809,-117.108178
31457,GREEN LIFE DELIVERY,,victorvillehigh-desert,CA,,34.586961,-117.126475
29608,GREEN PIECE DELIVERY,,the-foothils-sacramento,CA,,38.581572,-121.4944
30111,GREEN PLANET REMEDIES,,mira-loma,CA,,33.984542,-117.515945
31674,GREEN SPEEDY,,hollywood,CA,,34.092809,-118.328661
31550,GREEN TREES COLLECTIVE,,sacramento,CA,,38.581572,-121.4944
30704,GREEN VALLEY DELIVERY,,ventura,CA,,34.274646,-119.229032
30123,"GREEN WORLD EXPRESS, INC.",,northridgechatsworth,CA,,34.238125,-118.530123
30431,GREENDOTGUY,,pomona,CA,,34.055103,-117.749991
31279,GREENHOUSE REMEDIES,,chino,CA,,39.728494,-121.837478
30946,GREENLEAF ELITE GC,,perris-hemet,CA,,33.74752,-116.971968
30513,GROPHER EXPRESS,,pacific-beach,CA,,32.802458,-117.235585
30890,GROWERS DIRECT DELIVERY,,sonoma-county,CA,,38.292272,-122.461076
30117,HALVES AND WHOLES,,sacramento,CA,,38.581572,-121.4944
31382,HALVES AND WHOLES,,san-francisco,CA,,37.774929,-122.419416
30756,HAPPY BODY HOLISTIC CARE,,north-san-diego,CA,,32.715738,-117.161084
31412,HAPPY FARMS,,yucaipa-beaumont,CA,,33.991831,-117.030972
31238,HASH EMPORIUM,,sacramento,CA,,38.581572,-121.4944
29763,HEALTHWAY DELIVERY,,city-of-industry,CA,,34.019734,-117.958675
30846,HEALTHY ORGANICS,,victorvillehigh-desert,CA,,34.586961,-117.126475
30501,HEAVEN SENT,,victorvillehigh-desert,CA,,34.586961,-117.126475
29643,HEIRLOOM GENETICS,,stockton,CA,,37.957702,-121.29078
30872,HERBAL FARMACEUTICALS,,el-cajon,CA,,32.794773,-116.962527
31591,HERBEL EXPRESS SERVICE,,west-los-angeles,CA,,34.041209,-118.442596
30891,HERBNSOLACE,,north-inland,CA,,33.594066,-117.23681
31122,HH COLLECTIVE,,city-of-industry,CA,,34.019734,-117.958675
30101,HIGH EXPECTATIONS,,long-beach,CA,,33.77005,-118.193739
30784,HIGHERAPPROACH.COM,,temecula-a-murrieta,CA,,33.527338,-117.11471
30209,HOLISTIC HEALTH REMEDIES,,oceansidecarlsbad,CA,,33.158093,-117.350594
30708,HOLLISTER HERBS,,santa-cruz,CA,,36.974117,-122.030796
30484,HOUSE OF WAX,,fresno,CA,,36.746842,-119.772587
31463,HTC MEDS,,perris-hemet,CA,,33.74752,-116.971968
29970,INSTA-GREENS,,south-bay,CA,,33.879839,-118.381256
31296,INZEN GARDENS,,the-foothils-sacramento,CA,,38.581572,-121.4944
30888,KAIYA COLLECTIVE,,north-san-diego,CA,,32.715738,-117.161084
30978,KINDNESS GREEN,,city-of-industry,CA,,34.019734,-117.958675
30918,KUSH KINGDOM HOLISTIC CARE,,north-county,CA,,33.17205,-117.111602
30303,LADYBUG FARMS COLLECTIVE,,aliso-viejolaguna-beach,CA,,33.575,-117.725556
30796,LAGUNA GREENS,,aliso-viejolaguna-beach,CA,,33.575,-117.725556
29675,LAGUNA HOLISTIC - NEW,,dana-point,CA,,33.466972,-117.698107
31602,LAUGHING GRASS,,ventura,CA,,34.274646,-119.229032
30126,LIFE QUEST DELIVERY,,palm-springs,CA,,33.830296,-116.545292
29732,LIVE WELL PATIENTS GROUP,,east-bay,CA,,37.772796,-122.216281
31041,MAGNETIC HEALING,,high-desert,CA,,34.507651,-117.322631
31477,MALVERDE MEDS,,south-bay-sd,CA,,32.59672,-116.902812
30755,MAMAFLYZ,,south-east-san-diego,CA,,32.750087,-117.108896
30693,MARRIED TO JANE,,la-habra,CA,,33.931958,-117.946173
30065,MEDICAL MARIJUANA COURIERS (MMC),,thousand-palmspalm-desert,CA,,33.769449,-116.431192
31362,MEDIPHARM,,san-jose-southcampbell,CA,,37.339386,-121.894955
29691,MELLOW MEDS,,huntington-beach,CA,,33.660297,-117.999227
30542,MIGHTY GREEN MEDS,,santa-barbara,CA,,34.420831,-119.69819
31156,MILE HIGH DELIVERY,,vallejo,CA,,38.104086,-122.256637
30526,MOON SHADOW HARVEST,,temecula-a-murrieta,CA,,33.527338,-117.11471
29926,MR.GREENMAN DELIVERY,,downtown-la,CA,,34.052234,-118.243685
30007,N. F. P. ORGANICS DELIVERY,,visalia,CA,,36.330228,-119.292058
30760,NAME NOT FOUND,,city-of-industry,CA,,34.019734,-117.958675
30162,NINE LIVEZ COLLECTIVE,,riverside,CA,,33.953349,-117.396156
30564,NORCAL SAFE ACCESS,,chico,CA,,39.728494,-121.837478
30169,OG MART,,thousand-palmspalm-desert,CA,,33.769449,-116.431192
31096,OG VILLE,,san-bernardino,CA,,34.108345,-117.289765
30951,ORANGE COUNTY GREEN HOUSE,,dana-point,CA,,33.466972,-117.698107
30147,ORGANIC GREEN PREMIUM CLONES,,north-oc,CA,,33.717471,-117.831143
31489,ORGANISUPPLY SOLUTIONS,,anaheim,CA,,33.835293,33.835293
